study_hours,attendance,result
3.0,74.4,0
5.5,75.0,1
3.0,58.7,0
7.0,58.4,1
6.5,79.1,1
3.5,95.3,0
7.0,75.5,1
3.0,75.5,0
6.5,66.0,1
3.5,97.9,1
4.0,61.4,0
4.0,78.8,0
6.5,57.8,1
1.5,67.6,0
6.0,82.1,1
6.0,69.5,1
7.5,90.0,1
6.5,65.1,1
6.5,84.4,1
4.0,55.3,0
3.0,69.8,0
5.5,56.9,0
9.0,98.9,1
4.5,61.3,0
7.0,79.3,1
6.5,54.4,1
4.0,90.6,1
6.5,63.2,0
2.0,61.3,0
10.0,74.2,1
5.0,98.0,1
9.0,73.4,1
4.5,62.0,0
1.5,80.1,0
4.0,79.2,0
7.0,70.3,1
2.5,82.4,0
7.0,96.0,1
3.5,70.2,0
4.5,53.2,0
2.5,80.8,0
4.0,96.7,1
7.0,69.8,1
2.5,87.9,0
8.5,78.2,1
4.0,47.1,0
4.0,79.0,0
4.0,74.5,0
5.0,76.8,1
7.0,61.3,1
5.5,60.5,0
4.0,76.4,0
3.0,68.8,0
5.5,64.9,1
4.0,85.4,1
5.0,65.7,0
9.0,79.8,1
0.0,89.0,0
4.0,87.7,0
4.5,78.4,0
7.0,82.7,1
3.5,82.6,0
5.0,74.7,0
3.0,66.7,0
5.0,45.5,0
5.5,84.4,1
2.5,83.0,0
7.0,74.2,1
7.5,61.1,1
7.5,77.5,1
1.0,79.3,0
6.5,98.1,1
6.5,88.0,1
3.0,54.3,0
6.0,74.0,1
9.5,92.5,1
10.0,89.8,1
6.5,85.6,1
3.5,75.7,0
5.0,67.9,0
8.5,77.4,1
4.5,88.7,1
3.0,69.5,0
5.5,89.7,1
2.5,62.1,0
4.5,63.7,0
2.5,87.3,0
2.5,64.1,0
3.0,79.5,0
5.0,79.0,1
6.0,93.6,1
1.0,68.3,0
6.5,71.7,1
4.5,66.6,0
5.0,85.3,1
6.0,81.1,1
4.0,78.5,0
6.0,71.7,1
7.0,57.0,1
7.0,61.7,1
6.0,92.4,1
6.0,84.4,1
9.0,64.6,1
8.0,88.6,1
7.0,57.7,1
3.0,71.1,0
7.0,67.2,1
4.0,87.4,0
5.0,71.2,0
2.0,98.4,0
6.5,76.0,1
3.5,100.0,1
4.5,83.2,0
6.5,83.8,1
6.0,65.9,1
2.5,63.8,0
7.0,74.0,1
6.0,87.9,1
2.5,81.1,0
5.0,69.6,0
3.5,70.9,0
3.0,61.1,0
5.5,63.9,0
2.5,66.1,0
7.0,84.3,1
4.0,85.1,1
6.0,68.0,1
4.0,62.7,0
4.0,92.6,1
3.0,74.1,0
2.5,79.1,0
3.0,77.5,0
1.0,63.9,0
6.0,62.7,1
1.5,47.6,0
6.5,96.8,1
2.5,63.9,0
10.0,69.5,1
7.0,75.2,1
7.0,73.4,1
5.0,91.3,1
4.0,85.8,1
1.0,100.0,0
8.0,92.4,1
6.5,89.5,1
2.0,83.4,0
7.0,76.0,1
6.0,89.2,1
5.5,65.6,1
7.0,81.2,1
1.5,91.8,0
6.5,75.7,1
7.0,95.6,1
8.0,73.3,1
8.0,70.3,1
2.5,71.9,0
6.0,62.5,1
7.0,98.9,1
4.5,80.5,0
2.5,70.8,0
6.5,68.8,1
5.5,58.3,0
5.5,92.8,1
7.0,65.2,1
5.0,88.2,1
8.0,96.2,1
7.0,89.0,1
6.5,86.2,1
7.5,77.3,1
8.5,76.4,1
4.5,78.8,0
1.0,73.4,0
4.0,80.1,1
9.0,71.2,1
2.5,71.7,0
8.5,88.8,1
7.0,53.6,1
7.0,63.1,1
4.5,88.9,1
10.0,92.0,1
8.0,60.2,1
4.5,92.0,1
7.5,76.2,1
7.5,70.3,1
3.5,68.7,0
8.5,94.9,1
1.5,96.5,0
5.0,94.6,1
1.0,59.1,0
8.0,83.7,1
5.5,82.0,1
7.5,88.5,1
5.5,80.8,1
6.5,76.7,1
4.5,74.3,1
2.0,61.4,0
4.5,99.8,1
5.0,72.9,1
5.0,88.5,1
4.5,71.9,0
1.0,81.3,0
4.5,87.6,1
1.5,62.0,0
8.0,59.8,1
7.0,85.4,1
7.0,49.7,0
7.5,74.1,1
6.0,59.7,0
4.0,59.1,0
5.5,83.5,1
4.0,68.4,0
7.5,73.2,1
3.0,88.4,0
5.5,83.7,1
3.0,60.2,0
4.0,76.0,0
3.0,85.3,0
7.0,77.3,1
8.0,98.4,1
4.0,94.3,1
5.0,63.3,0
6.0,77.7,1
3.5,93.8,1
7.0,91.4,1
4.0,88.8,0
7.0,71.7,1
5.0,74.9,0
5.0,77.5,0
1.5,88.4,0
5.0,78.4,0
4.5,83.5,1
4.0,77.5,0
5.0,93.1,1
6.5,89.9,1
8.5,58.5,1
5.5,66.6,1
4.5,72.5,0
8.5,84.8,1
1.5,91.3,0
1.5,92.0,0
6.0,76.0,1
4.0,72.9,0
1.0,79.9,0
2.5,46.2,0
6.5,89.0,1
3.5,94.1,1
8.5,69.6,1
3.0,78.0,0
8.5,63.3,1
6.0,58.0,0
6.0,84.2,1
0.5,72.0,0
3.0,82.4,0
5.5,91.3,1
1.0,77.3,0
5.5,55.7,0
8.0,100.0,1
5.0,72.4,0
9.5,80.9,1
10.0,82.3,1
3.0,76.8,0
4.0,52.4,0
5.5,70.3,1
6.0,81.2,1
4.5,84.1,1
2.0,86.7,0
4.5,79.7,1
5.0,69.2,0
3.5,92.3,0
6.5,78.7,1
8.5,80.2,1
2.5,95.8,0
4.5,59.0,0
3.5,74.7,1
4.0,64.4,0
8.0,77.3,1
1.5,69.5,0
1.5,82.2,0
4.0,87.9,0
5.0,60.0,0
7.5,81.2,1
7.0,70.8,1
3.5,44.0,0
5.5,96.8,1
1.5,88.5,0
1.5,74.3,0
5.0,86.2,1
6.5,64.7,1
0.0,81.7,0
9.5,88.9,1
3.0,71.9,0
7.5,75.0,1
3.0,73.3,0
6.5,68.1,1
5.0,54.0,0
6.5,76.5,1
6.5,72.7,1
3.5,87.4,0
10.0,78.9,1
6.5,93.2,1
8.5,57.6,1
5.0,70.7,0
3.5,89.5,1
2.5,63.6,0
2.5,90.4,0
3.5,65.9,0
4.5,93.1,1
6.5,81.9,1
8.5,88.1,1
7.5,93.0,1
7.0,75.8,1
2.0,76.6,0
6.0,65.7,0
5.5,91.1,1
2.5,89.2,0
1.5,81.9,0
3.5,68.3,0
3.5,58.3,0
2.0,67.7,0
3.5,80.7,1
4.5,73.3,1
10.0,54.2,1
7.0,62.7,1
2.5,56.9,0
5.5,76.3,1
9.0,76.8,1
2.0,81.9,0
5.5,71.1,1
7.0,75.9,1
3.5,61.9,0
5.0,87.8,1
2.0,67.9,0
3.0,51.5,0
3.5,91.3,0
9.0,86.4,1
3.0,90.2,0
10.0,71.8,1
8.0,66.9,1
6.0,69.6,0
3.5,51.8,0
4.0,80.2,0
3.5,73.3,0
6.0,52.7,0
6.0,58.1,1
8.0,69.8,1
5.5,93.5,1
6.5,73.3,1
3.0,49.4,0
0.5,86.6,0
3.0,53.0,0
6.5,81.4,1
8.0,45.4,1
2.5,88.4,0
6.0,58.2,0
2.5,59.6,0
6.0,48.1,0
3.5,52.0,0
6.0,86.1,1
5.5,62.6,0
4.5,74.0,1
3.0,95.4,1
0.0,76.2,0
2.0,78.7,0
5.5,71.8,1
6.5,65.0,1
3.5,86.8,0
4.0,44.8,0
7.0,72.5,1
9.0,99.1,1
6.5,51.0,1
8.0,91.6,1
2.0,68.0,0
6.5,63.1,0
7.0,75.4,1
7.5,90.7,1
6.5,90.0,1
7.5,83.8,1
6.0,83.4,1
8.0,92.0,1
7.0,95.7,1
9.5,53.1,1
4.5,63.8,0
3.5,75.3,0
5.5,96.3,1
4.5,97.1,0
1.5,93.4,0
7.5,66.2,1
9.5,88.5,1
2.5,72.9,0
8.5,74.0,1
3.0,68.4,0
6.0,76.2,1
9.0,82.1,1
3.0,70.1,0
7.5,81.4,1
8.0,77.9,1
6.5,73.6,1
4.5,89.3,1
1.0,88.2,0
0.5,71.1,0
6.0,66.9,1
6.5,63.6,1
6.0,67.2,0
7.0,65.5,0
10.0,73.6,1
5.0,65.5,0
5.0,67.6,0
3.5,77.6,0
3.0,75.8,0
4.5,57.8,0
3.0,62.8,0
2.5,87.6,0
9.5,94.6,1
4.0,70.2,0
6.0,85.6,1
5.0,96.0,1
5.5,55.5,0
4.0,94.0,1
6.0,77.5,1
4.0,68.7,0
7.5,85.0,1
5.5,77.2,1
3.5,57.8,0
4.5,70.6,0
1.5,66.5,0
5.5,66.2,1
6.0,62.9,0
8.0,62.2,1
7.5,84.9,1
3.0,92.2,0
9.5,62.8,1
5.0,68.7,1
4.0,67.0,0
5.5,67.8,0
4.5,65.4,0
5.5,90.3,1
3.0,81.2,0
4.0,60.7,0
5.0,77.7,1
3.0,48.7,0
4.5,79.2,0
2.5,80.1,0
4.5,81.7,1
3.0,81.7,0
4.5,99.2,1
4.5,85.6,1
4.5,82.2,0
4.0,53.4,0
6.0,74.3,1
6.5,62.8,1
4.0,71.5,1
7.0,78.4,1
10.0,75.7,1
4.5,92.5,1
5.0,67.8,1
5.5,88.2,1
0.5,63.5,0
3.0,62.0,0
3.5,69.1,0
5.0,80.9,1
7.0,70.6,1
6.5,82.5,1
4.5,59.1,0
6.5,48.6,0
5.5,88.1,1
6.0,72.1,0
2.5,65.8,0
5.5,97.9,1
10.0,48.8,1
8.5,84.2,1
2.0,75.8,0
6.0,87.8,1
6.0,100.0,1
3.5,74.2,0
6.5,82.7,1
3.5,74.3,0
4.5,78.6,0
4.5,51.0,0
2.5,81.0,0
9.0,80.3,1
8.0,94.1,1
9.0,73.6,1
8.0,65.9,1
4.5,72.1,0
8.0,72.0,1
2.5,58.9,0
4.5,87.5,1
5.5,98.1,1
7.0,74.9,1
3.5,86.9,1
9.0,88.7,1
3.5,72.6,0
5.5,74.3,1
3.0,70.5,0
3.0,76.5,0
4.0,62.5,0
4.5,70.7,0
3.5,78.1,1
3.5,67.4,0
2.0,80.3,0
6.5,82.3,1
7.5,65.7,1
5.5,76.7,1
6.0,66.0,1
5.5,95.7,1
0.0,80.3,0
3.0,93.1,0
2.5,49.7,0
2.0,100.0,0
2.0,77.0,0
5.0,65.9,0
1.5,76.6,0
5.0,80.6,1
6.0,79.8,1
4.5,74.9,1
2.0,78.1,0
6.0,74.1,1
6.0,78.1,1
5.5,74.9,1
4.5,89.8,1
7.5,87.3,1
6.5,98.9,1
2.5,75.2,0
6.0,78.7,1
5.5,58.0,1
10.0,71.4,1
5.0,91.0,1
3.0,66.4,0
6.5,87.4,1
6.0,81.7,1
6.5,62.5,1
6.0,78.9,1
3.5,84.7,0
6.5,78.2,1
4.5,86.4,0
5.5,82.8,1
5.0,87.2,1
1.0,91.6,0
2.5,90.7,0
2.5,69.8,0
4.5,51.8,0
6.5,80.3,1
2.0,85.8,0
2.5,90.2,0
4.5,94.1,1
6.5,76.2,1
6.0,77.9,1
4.0,83.2,1
4.5,68.5,1
8.5,76.1,1
5.5,50.9,0
3.5,50.9,0
5.0,65.0,0
4.0,88.3,1
1.0,82.6,0
4.0,83.3,1
6.0,81.9,1
9.0,67.7,1
6.5,67.9,1
4.0,83.8,1
3.5,72.9,0
6.0,94.6,1
3.0,89.4,0
6.0,76.8,1
9.5,82.0,1
5.0,66.5,0
3.5,81.8,0
3.0,61.9,0
2.0,88.4,0
4.0,84.7,0
6.5,64.0,0
4.5,79.8,1
3.0,78.8,0
3.5,76.2,0
3.5,55.9,0
7.0,82.8,1
2.0,67.5,0
3.0,89.3,0
4.0,92.2,1
4.5,92.9,1
9.5,87.1,1
6.0,92.1,1
3.5,93.6,0
5.0,78.9,1
4.0,77.2,0
4.5,70.0,0
0.5,80.8,0
6.0,90.8,1
1.5,66.8,0
4.5,67.9,1
4.5,82.8,0
5.0,58.2,0
6.5,83.3,1
5.5,87.2,1
10.0,92.5,1
3.0,72.6,0
3.5,50.1,0
5.5,77.7,1
7.0,88.2,1
8.0,46.7,1
4.5,75.6,0
3.0,92.7,1
8.0,89.1,1
9.0,70.6,1
1.5,95.4,0
7.5,53.9,0
6.0,94.8,1
6.0,80.8,1
5.0,79.8,1
4.0,97.5,1
3.0,68.1,0
8.0,73.2,1
6.0,85.9,1
6.0,74.9,1
5.5,68.7,0
7.5,73.0,1
4.5,80.6,0
7.0,79.4,1
4.0,72.4,0
10.0,73.3,1
9.0,78.8,1
7.5,94.9,1
8.0,95.3,1
8.5,84.6,1
6.5,85.1,1
6.0,85.0,1
6.0,81.6,1
6.0,97.7,1
6.5,78.5,1
6.0,74.4,1
3.5,94.3,0
3.0,93.4,0
5.0,91.4,1
7.5,82.1,1
7.5,75.1,1
4.0,59.8,0
2.5,81.6,0
8.5,83.7,1
6.5,72.4,1
1.0,68.9,0
8.0,67.7,1
3.5,66.3,0
7.0,60.6,1
2.5,50.8,0
2.5,68.5,0
5.5,75.5,1
4.0,69.3,0
4.0,69.0,0
3.0,90.5,1
4.0,69.1,0
7.0,86.7,1
2.5,52.8,0
6.5,77.2,1
4.5,94.7,0
2.5,93.5,0
6.0,82.0,1
9.5,70.1,1
3.5,54.5,0
5.5,76.4,1
2.5,73.3,0
8.0,99.6,1
4.0,75.5,0
7.5,74.2,1
3.5,69.9,0
4.0,55.0,0
3.0,81.0,1
8.0,93.5,1
4.5,90.7,0
4.0,76.2,0
5.0,68.0,0
4.0,89.2,0
4.0,85.2,1
6.5,65.5,1
4.0,97.8,1
1.5,96.8,0
2.5,59.5,0
5.5,62.3,0
3.5,80.8,0
5.5,69.2,0
5.5,88.8,1
5.5,82.7,1
4.0,75.2,0
9.0,54.9,1
1.5,71.3,0
4.0,68.1,0
6.0,76.1,1
1.0,59.0,0
6.0,91.8,1
4.5,91.7,1
6.0,66.6,1
7.0,83.7,1
4.5,75.9,0
5.0,87.4,1
2.0,77.4,0
7.0,64.7,1
6.0,60.4,1
4.5,46.3,0
4.0,56.7,0
3.0,40.4,0
10.0,41.5,1
6.5,78.9,1
1.5,92.3,0
4.5,61.2,0
5.5,74.2,0
3.5,83.4,0
9.5,47.4,1
3.0,69.3,0
2.0,70.4,0
4.5,75.8,1
3.5,75.2,0
3.5,55.2,0
9.5,89.7,1
4.0,77.8,0
4.0,84.5,0
9.5,86.6,1
10.0,100.0,1
7.5,80.8,1
4.0,79.8,0
1.5,62.6,0
3.5,62.9,0
3.5,85.7,0
3.0,72.1,0
6.5,76.1,1
8.0,60.4,1
2.5,67.2,0
4.0,79.4,0
6.5,65.8,1
7.5,83.1,1
6.5,55.9,1
4.0,81.8,0
10.0,78.5,1
7.0,62.5,0
4.0,82.9,0
4.5,75.1,1
7.5,69.5,1
6.0,48.8,0
3.0,90.3,0
5.0,73.1,1
8.5,86.4,1
7.0,80.8,1
2.0,52.9,0
2.0,78.0,0
1.5,61.7,0
5.5,83.0,1
1.5,56.1,0
2.5,75.0,0
7.5,87.5,1
5.5,84.8,1
3.5,86.1,1
3.5,56.2,0
3.0,74.5,0
5.0,83.0,1
5.0,59.7,0
4.0,82.2,1
7.5,87.8,1
7.0,63.5,1
8.0,69.7,1
8.0,52.7,1
0.0,77.3,0
6.5,47.6,0
4.0,76.6,0
5.0,72.8,1
4.0,93.9,0
4.0,59.0,0
7.5,55.1,1
3.5,69.8,0
5.0,67.0,0
5.5,85.7,1
6.0,96.0,1
6.5,69.1,1
6.0,73.7,0
3.5,98.4,1
6.0,99.4,1
8.0,84.9,1
2.5,63.3,0
2.5,92.6,0
1.0,69.8,0
2.0,56.3,0
2.0,81.3,0
7.0,83.8,1
5.0,53.2,0
1.0,60.1,0
4.0,96.8,1
6.5,74.1,1
5.5,67.9,0
3.0,87.9,0
4.0,83.7,0
1.5,97.4,1
6.0,89.1,1
7.5,75.5,1
3.0,47.0,0
8.0,79.4,1
7.5,75.6,1
